date,open,high,low,close,volume,Name
2013-10-31,26.1522,26.2481,25.8471,25.9256,1168904,LEG
2013-11-01,25.9517,26.0825,25.5943,25.7164,899277,LEG
2013-11-04,25.7861,25.9953,25.7425,25.9343,807615,LEG
2013-11-05,25.8558,25.8645,25.6466,25.7948,918770,LEG
2013-11-06,25.882,25.8907,25.7512,25.8035,815397,LEG
2013-11-07,25.9343,26.0999,25.3677,25.3764,1089216,LEG
2013-11-08,25.3851,25.664,25.2195,25.6117,859601,LEG
2013-11-11,25.5071,25.6865,25.3415,25.6205,731977,LEG
2013-11-12,25.542,25.6902,25.4636,25.6292,752829,LEG
2013-11-13,25.4897,25.7338,25.4897,25.7076,905717,LEG
2013-11-14,25.7164,25.7992,25.542,25.7076,1138142,LEG
2013-11-15,25.6728,26.004,25.603,25.9953,885446,LEG
2013-11-18,26.065,26.2394,25.8558,25.9953,1028203,LEG
2013-11-19,26.0127,26.248,25.8776,25.9604,1068710,LEG
2013-11-20,26.0912,26.2831,25.7512,25.821,948339,LEG
2013-11-21,25.821,26.1086,25.7425,26.0912,536334,LEG
2013-11-22,26.0999,26.2394,25.9692,26.2132,559244,LEG
2013-11-25,26.3091,26.4312,26.1261,26.1958,1046694,LEG
2013-11-26,26.2307,26.6221,26.2307,26.5009,946968,LEG
2013-11-27,26.5619,26.6317,26.1609,26.222,836513,LEG
2013-11-29,26.2656,26.405,26.2045,26.3353,411912,LEG
2013-12-02,26.2917,26.3179,25.7948,25.8384,1049629,LEG
2013-12-03,25.7251,25.8471,25.5333,25.821,1264533,LEG
2013-12-04,25.664,25.9343,25.4636,25.5856,1341115,LEG
2013-12-05,25.481,25.6379,25.3764,25.4636,993178,LEG
2013-12-06,25.6292,25.943,25.603,25.8558,609803,LEG
2013-12-09,25.9169,26.1871,25.8593,26.0302,848114,LEG
2013-12-10,26.0302,26.174,25.8035,25.8384,588609,LEG
2013-12-11,25.8032,25.9176,25.354,25.4861,1108276,LEG
2013-12-12,25.4245,25.7151,25.3628,25.627,1146823,LEG
2013-12-13,25.6358,25.7503,25.583,25.6711,569873,LEG
2013-12-16,25.7239,26.0233,25.7151,25.9617,602183,LEG
2013-12-17,25.9705,26.0321,25.7723,25.8648,1584353,LEG
2013-12-18,25.9529,26.8511,25.8673,26.7367,2380312,LEG
2013-12-19,26.6662,26.7895,26.5313,26.6486,1064803,LEG
2013-12-20,26.719,27.0713,26.6662,26.904,2510682,LEG
2013-12-23,27.0713,27.3883,26.904,27.2915,1671004,LEG
2013-12-24,27.2386,27.4588,27.1683,27.2738,266326,LEG
2013-12-26,27.3179,27.494,27.2915,27.3003,760955,LEG
2013-12-27,27.3003,27.5909,27.2562,27.3531,724991,LEG
2013-12-30,27.3355,27.494,27.2827,27.3707,563058,LEG
2013-12-31,27.4324,27.4764,27.1814,27.2474,642431,LEG
2014-01-02,27.1858,27.2298,26.8952,27.0008,713229,LEG
2014-01-03,27.0889,27.2465,27.0008,27.0449,535508,LEG
2014-01-06,26.992,27.0361,26.5693,26.6926,1113234,LEG
2014-01-07,26.7367,26.9436,26.7278,26.8071,714667,LEG
2014-01-08,26.8247,26.9832,26.5341,26.7455,1275182,LEG
2014-01-09,26.7455,26.9304,26.5253,26.6574,670519,LEG
2014-01-10,26.7014,27.0537,26.6838,26.7543,764617,LEG
2014-01-13,26.631,26.7367,26.1466,26.2347,1060417,LEG
2014-01-14,26.3404,26.5957,26.2171,26.446,851573,LEG
2014-01-15,26.5165,26.6838,26.3404,26.6222,745927,LEG
2014-01-16,26.5693,26.6046,26.2479,26.5077,659925,LEG
2014-01-17,26.5253,26.5253,26.0674,26.1995,1084845,LEG
2014-01-21,26.5517,26.8247,26.3536,26.7895,1361254,LEG
2014-01-22,26.8159,26.8775,26.4637,26.6838,874392,LEG
2014-01-23,26.5605,27.0449,26.5605,27.0273,1585319,LEG
2014-01-24,26.9128,26.9128,26.1026,26.2259,2621137,LEG
2014-01-27,26.2259,26.3034,25.8472,25.9705,1997635,LEG
2014-01-28,26.0321,26.3051,25.9265,26.1642,1841231,LEG
2014-01-29,25.9529,26.1995,25.812,26.0233,1619705,LEG
2014-01-30,26.2083,26.3844,26.085,26.3051,1138617,LEG
2014-01-31,25.9176,26.6574,25.8736,26.4372,1223597,LEG
2014-02-03,26.4372,26.4725,25.5037,25.5918,1489459,LEG
2014-02-04,25.6887,26.0233,25.4509,25.9265,1175633,LEG
2014-02-05,25.8032,26.0321,25.7063,25.8472,992993,LEG
2014-02-06,25.8912,26.4372,25.8912,26.358,796620,LEG
2014-02-07,26.358,26.7631,26.3492,26.7367,776827,LEG
2014-02-10,26.6486,26.9128,26.4725,26.7014,1310492,LEG
2014-02-11,26.675,27.1241,26.631,26.8687,960816,LEG
2014-02-12,26.8776,27.0889,26.7543,26.8952,937966,LEG
2014-02-13,26.6926,27.1946,26.5869,27.1329,793803,LEG
2014-02-14,27.1153,27.3971,26.992,27.3795,606610,LEG
2014-02-18,27.4324,27.5469,27.1329,27.2915,668783,LEG
2014-02-19,27.2034,27.6085,27.1241,27.5028,1124674,LEG
2014-02-20,27.4764,27.6701,27.3883,27.6349,691285,LEG
2014-02-21,27.723,27.7582,27.5909,27.6437,629723,LEG
2014-02-24,27.7406,28.0488,27.6173,27.6173,925944,LEG
2014-02-25,27.6525,27.7054,27.4588,27.5116,781535,LEG
2014-02-26,27.6173,28.1985,27.45,28.1017,1037796,LEG
2014-02-27,28.0929,28.2162,27.952,28.2073,578391,LEG
2014-02-28,28.2338,28.4011,27.9872,28.225,774303,LEG
2014-03-03,27.8903,28.0841,27.6613,27.9255,672614,LEG
2014-03-04,28.1897,28.4275,28.1105,28.2073,933075,LEG
2014-03-05,28.2338,28.2338,27.9696,28.1369,875052,LEG
2014-03-06,28.1633,28.3879,28.0488,28.313,712025,LEG
2014-03-07,28.5596,28.5948,28.225,28.2602,724551,LEG
2014-03-10,28.2073,28.3218,28.0488,28.2514,689374,LEG
2014-03-11,28.3042,28.4187,28.0136,28.2426,908274,LEG
2014-03-12,28.0826,28.6115,28.0648,28.5537,1483415,LEG
2014-03-13,28.616,28.656,27.567,27.7359,1428697,LEG
2014-03-14,27.6559,28.047,27.6559,27.9759,700620,LEG
2014-03-17,28.0559,28.3226,27.9937,28.2248,645063,LEG
2014-03-18,28.2337,28.7315,28.2248,28.6426,729059,LEG
2014-03-19,28.8382,28.936,28.1359,28.3226,732610,LEG
2014-03-20,28.367,28.5626,28.127,28.5537,818211,LEG
2014-03-21,28.6782,28.9093,28.3493,28.4026,1704188,LEG
2014-03-24,28.4826,28.5893,28.0648,28.3048,1059785,LEG
2014-03-25,28.3315,28.5271,28.1181,28.3048,618193,LEG
2014-03-26,28.4915,28.6426,28.1715,28.2337,640715,LEG
2014-03-27,28.1981,28.2959,28.0292,28.1537,484339,LEG
2014-03-28,28.2693,28.7137,28.2693,28.6515,645077,LEG
2014-03-31,28.776,29.1138,28.7048,29.016,660318,LEG
2014-04-01,28.9804,29.176,28.7937,28.9182,891358,LEG
2014-04-02,28.8382,29.2471,28.6337,29.0782,642846,LEG
2014-04-03,29.1671,29.176,28.936,29.0071,632789,LEG
2014-04-04,29.1582,29.6649,28.9004,28.9538,719883,LEG
2014-04-07,28.9271,28.9404,28.3759,28.3937,1101957,LEG
2014-04-08,28.4026,28.9715,28.2781,28.9004,870127,LEG
2014-04-09,28.9538,29.3005,28.8116,29.1671,614643,LEG
2014-04-10,29.1849,29.336,28.6426,28.6426,846317,LEG
2014-04-11,28.4204,28.7315,28.3137,28.4115,821264,LEG
2014-04-14,28.6071,28.8204,28.5093,28.7137,806181,LEG
2014-04-15,28.8204,28.9626,28.4248,28.8826,846515,LEG
2014-04-16,29.0604,29.3538,28.9271,29.3538,609057,LEG
2014-04-17,29.2916,29.4516,29.1138,29.2916,1290485,LEG
2014-04-21,29.336,29.4783,29.2205,29.3449,528134,LEG
2014-04-22,29.3805,29.6818,29.3805,29.656,710024,LEG
2014-04-23,29.6649,29.7272,29.3182,29.6827,697756,LEG
2014-04-24,29.6827,30.0916,29.5849,29.9939,1169340,LEG
2014-04-25,29.6027,29.6827,28.0381,28.4204,2188135,LEG
2014-04-28,28.4648,28.9449,28.2248,28.8915,1250877,LEG
2014-04-29,28.9449,29.2293,28.8738,29.0693,968626,LEG
2014-04-30,29.0515,29.3271,28.9538,29.2116,1003824,LEG
2014-05-01,29.1938,29.3982,29.0515,29.256,815489,LEG
2014-05-02,29.3182,29.8694,29.2738,29.6827,878134,LEG
2014-05-05,29.5405,29.5672,29.0071,29.0427,1482363,LEG
2014-05-06,28.9626,29.0009,28.5893,28.6871,1333089,LEG
2014-05-07,28.8204,29.336,28.7226,29.3182,1532772,LEG
2014-05-08,29.3005,29.6472,29.1316,29.3716,983909,LEG
2014-05-09,29.2649,29.905,29.1316,29.7005,1155979,LEG
2014-05-12,29.8427,30.225,29.8338,30.0828,916073,LEG
2014-05-13,30.1628,30.2782,29.9983,30.1628,713162,LEG
2014-05-14,30.1094,30.1361,29.5049,29.5405,861394,LEG
2014-05-15,29.4605,29.4605,28.9182,29.2827,833211,LEG
2014-05-16,29.2916,29.5583,29.2293,29.5494,777121,LEG
2014-05-19,29.5494,29.7627,29.2916,29.6738,864422,LEG
2014-05-20,29.5227,29.6916,29.1493,29.256,804571,LEG
2014-05-21,29.4338,29.5049,29.2649,29.3716,639249,LEG
2014-05-22,29.3538,29.656,29.3182,29.6116,571748,LEG
2014-05-23,29.6205,29.9138,29.5405,29.8694,527628,LEG
2014-05-27,29.9939,30.1628,29.8872,29.9494,635542,LEG
2014-05-28,30.0383,30.1805,29.9138,30.0116,730238,LEG
2014-05-29,30.0383,30.225,29.9672,30.0205,848752,LEG
2014-05-30,29.9583,30.1909,29.9405,30.1539,769081,LEG
2014-06-02,30.145,30.3139,30.1183,30.2517,817271,LEG
2014-06-03,30.2072,30.2783,30.1628,30.2428,504344,LEG
2014-06-04,30.1716,30.3139,30.0828,30.1005,642981,LEG
2014-06-05,30.1183,30.3317,29.985,30.3317,596771,LEG
2014-06-06,30.3406,30.6695,30.2872,30.6517,514171,LEG
2014-06-09,30.6695,30.9362,30.6428,30.9362,1006146,LEG
2014-06-10,30.8028,30.865,30.225,30.2694,1218527,LEG
2014-06-11,30.2336,30.3277,29.7851,30.099,975496,LEG
2014-06-12,30.099,30.2515,29.9107,30.0094,724135,LEG
2014-06-13,30.0004,30.117,29.7224,30.0183,629474,LEG
2014-06-16,30.0183,30.1349,29.839,30.0094,823502,LEG
2014-06-17,29.9466,30.3143,29.7313,30.1887,606302,LEG
2014-06-18,30.1708,30.3233,30.0183,30.2784,651793,LEG
2014-06-19,30.2874,30.5923,30.2874,30.5295,891866,LEG
2014-06-20,30.6192,30.691,30.4578,30.5475,1221883,LEG
2014-06-23,30.5834,30.8434,30.4668,30.4937,807126,LEG
2014-06-24,30.404,30.8973,30.3143,30.3502,812248,LEG
2014-06-25,30.3053,30.691,30.2788,30.5834,687753,LEG
2014-06-26,30.4757,30.6686,30.1439,30.5116,735065,LEG
2014-06-27,30.5564,30.7627,30.2425,30.6013,1868462,LEG
2014-06-30,30.5475,30.7627,30.404,30.7448,621504,LEG
2014-07-01,30.7627,30.9331,30.6192,30.7538,566623,LEG
2014-07-02,30.7358,30.7896,30.4668,30.5744,536699,LEG
2014-07-03,30.6999,30.8524,30.5027,30.8165,457321,LEG
2014-07-07,30.8883,30.8973,30.5206,30.5923,526007,LEG
2014-07-08,30.4757,30.6213,30.3771,30.4309,444794,LEG
2014-07-09,30.386,30.7179,30.2515,30.4488,983905,LEG
2014-07-10,30.0721,30.2246,29.9466,30.0183,1033034,LEG
2014-07-11,29.9824,30.2784,29.8659,30.1349,686164,LEG
2014-07-14,30.3681,30.4847,30.117,30.1977,768750,LEG
2014-07-15,30.1529,30.2694,29.4892,29.5609,1355441,LEG
2014-07-16,29.6955,29.821,29.4802,29.6506,1117922,LEG
2014-07-17,29.4712,29.6596,29.1842,29.1932,914436,LEG
2014-07-18,29.3098,29.543,29.256,29.5071,1398511,LEG
2014-07-21,29.4712,29.6058,29.1753,29.4264,691965,LEG
2014-07-22,29.5968,29.7672,29.4443,29.552,950757,LEG
2014-07-23,29.5161,29.7762,29.3008,29.534,731539,LEG
2014-07-24,29.5071,29.839,29.3277,29.4802,832381,LEG
2014-07-25,29.3995,30.4488,29.2111,30.1259,2199134,LEG
2014-07-28,30.117,30.117,29.6865,29.9107,1103658,LEG
2014-07-29,29.812,29.9376,29.5206,29.525,900651,LEG
2014-07-30,29.6237,29.9286,29.543,29.8928,1405330,LEG
2014-07-31,29.6147,29.7672,29.3457,29.4174,1019761,LEG
2014-08-01,29.4085,29.839,29.3322,29.7493,898268,LEG
2014-08-04,29.4085,29.839,29.3322,29.7493,898268,LEG
2014-08-05,29.6058,30.0901,29.5789,29.8031,767048,LEG
2014-08-06,29.6865,30.0183,29.6147,29.8569,786339,LEG
2014-08-07,29.9914,30.0901,29.7134,29.821,595057,LEG
2014-08-08,29.8479,30.404,29.839,30.2336,1326236,LEG
2014-08-11,30.3053,30.5744,30.2964,30.5475,642945,LEG
2014-08-12,30.5206,30.673,30.3681,30.4937,543273,LEG
2014-08-13,30.6551,30.7627,30.404,30.6551,659274,LEG
2014-08-14,30.7627,30.9242,30.6103,30.8793,521387,LEG
2014-08-15,30.969,31.1125,30.5834,30.673,707417,LEG
2014-08-18,30.8973,31.247,30.8883,31.1215,607885,LEG
2014-08-19,31.247,31.5789,31.2112,31.5789,1140341,LEG
2014-08-20,31.3367,31.5699,31.2022,31.3547,802374,LEG
2014-08-21,31.4623,31.4937,31.0946,31.4444,530326,LEG
2014-08-22,31.3816,31.5161,31.2201,31.4264,913167,LEG
2014-08-25,31.4802,31.5699,31.2381,31.2919,468232,LEG
2014-08-26,31.2919,31.3995,31.2022,31.3457,338257,LEG
2014-08-27,31.3098,31.5251,31.247,31.3457,409740,LEG
2014-08-28,31.1753,31.3547,30.978,31.2291,392610,LEG
2014-08-29,31.3636,31.4982,31.2291,31.4713,458640,LEG
2014-09-02,31.4444,31.7403,31.3457,31.7403,789171,LEG
2014-09-03,31.839,31.9197,31.5699,31.6148,609831,LEG
2014-09-04,31.6237,31.8479,31.4399,31.552,889491,LEG
2014-09-05,31.4623,31.7672,31.3995,31.7493,453855,LEG
2014-09-08,31.7403,31.7905,31.4892,31.552,447019,LEG
2014-09-09,31.4802,31.5789,31.2919,31.3905,757645,LEG
2014-09-10,31.4174,31.8569,31.2919,31.821,971550,LEG
2014-09-11,31.7034,31.9748,31.555,31.9296,1038570,LEG
2014-09-12,31.8934,31.9929,31.5315,31.7486,1207631,LEG
2014-09-15,31.7215,31.8011,31.5315,31.6944,498911,LEG
2014-09-16,31.6491,31.9839,31.5767,31.8663,569730,LEG
2014-09-17,31.9206,32.3458,31.8663,32.1287,999483,LEG
2014-09-18,32.1377,32.192,31.7125,31.9025,723894,LEG
2014-09-19,32.0834,32.1015,31.631,31.8482,1379647,LEG
2014-09-22,32.1015,32.5177,31.9477,32.0382,1047468,LEG
2014-09-23,31.9748,32.0835,31.6672,31.6672,890834,LEG
2014-09-24,31.6582,32.0925,31.5044,32.0382,1320221,LEG
2014-09-25,31.9839,32.2191,31.7034,31.9025,871898,LEG
2014-09-26,31.8934,32.1196,31.8029,32.1015,618976,LEG
2014-09-29,31.7848,32.1648,31.6672,32.0653,685361,LEG
2014-09-30,32.0653,32.192,31.5948,31.5948,1050443,LEG
2014-10-01,31.4953,31.5496,31.0429,31.3505,1537386,LEG
2014-10-02,31.3686,31.5948,31.1967,31.5134,1010193,LEG
2014-10-03,31.6582,31.8753,31.5858,31.6582,1353078,LEG
2014-10-06,31.812,31.8272,31.3415,31.4501,960066,LEG
2014-10-07,31.242,31.251,30.7896,30.8077,1046339,LEG
2014-10-08,30.7805,31.1696,30.5679,31.1424,997794,LEG
2014-10-09,31.1515,31.2148,30.5543,30.5724,1465282,LEG
2014-10-10,30.6358,30.8439,30.4186,30.5996,1476552,LEG
2014-10-13,30.4367,30.6901,29.9613,30.0205,1550779,LEG
2014-10-14,30.0929,30.7082,30.0929,30.4096,1163876,LEG
2014-10-15,30.0024,30.6901,29.5319,30.5272,1418218,LEG
2014-10-16,30.0929,30.8258,30.0024,30.4458,1397830,LEG
2014-10-17,30.672,31.2601,30.6177,31.1243,1692384,LEG
2014-10-20,31.1696,31.6491,31.1063,31.6401,1058179,LEG
2014-10-21,31.7939,32.2553,31.6582,32.2463,815235,LEG
2014-10-22,32.3729,32.6263,31.9025,32.0291,1629000,LEG
2014-10-23,31.6672,33.8206,31.6672,33.5039,2232097,LEG
2014-10-24,33.6215,34.3408,33.4776,34.3001,1174296,LEG
2014-10-27,34.3001,34.8611,34.1282,34.7435,1342821,LEG
2014-10-28,34.8339,35.3135,34.6801,35.0873,1030380,LEG
2014-10-29,35.1325,35.223,34.5444,34.9335,1098314,LEG
2014-10-30,36.6616,37.5754,36.6435,37.503,1346863,LEG
2014-10-31,35.7387,35.9287,35.4673,35.6301,1029240,LEG
2014-11-03,35.603,36.1368,35.5578,36.1187,1189762,LEG
2014-11-04,36.0554,36.3004,35.8563,36.0192,861224,LEG
2014-11-05,36.3449,36.4173,35.8337,35.9468,1165377,LEG
2014-11-06,35.9197,36.3268,35.6844,36.2635,1347110,LEG
2014-11-07,36.2635,36.4987,36.0554,36.2635,983520,LEG
2014-11-10,36.2544,36.951,36.1504,36.9421,881082,LEG
2014-11-11,36.9964,37.5754,36.8968,37.3673,1193533,LEG
2014-11-12,36.6616,37.5754,36.6435,37.503,1346863,LEG
2014-11-13,37.5121,37.5392,36.8787,36.9602,1047081,LEG
2014-11-14,37.0235,37.1954,36.7249,36.8968,840622,LEG
2014-11-17,36.7792,37.3311,36.6706,37.313,822883,LEG
2014-11-18,37.2678,37.5211,37.123,37.1411,601710,LEG
2014-11-19,37.114,37.3945,36.8154,37.3764,871593,LEG
2014-11-20,37.1773,37.5483,36.9918,37.1321,1888522,LEG
2014-11-21,37.6478,37.684,37.019,37.2587,1223275,LEG
2014-11-24,37.5211,37.7745,37.3848,37.7111,613330,LEG
2014-11-25,37.2316,37.8649,36.9692,37.7564,922879,LEG
2014-11-26,37.7926,38.1092,37.7111,38.0459,726516,LEG
2014-11-28,38.064,38.4259,37.9373,38.0821,706389,LEG
2014-12-01,37.9011,38.1454,37.684,37.7202,1417652,LEG
2014-12-02,37.5211,37.9655,37.5121,37.9373,1076507,LEG
2014-12-03,37.9373,38.3535,37.874,38.0007,921185,LEG
2014-12-04,37.9826,38.0549,37.6749,37.9192,1033826,LEG
2014-12-05,37.9102,38.064,37.684,37.7835,929295,LEG
2014-12-08,37.6478,37.9464,37.5573,37.7292,1046473,LEG
2014-12-09,37.3311,37.9464,37.1683,37.9283,977750,LEG
2014-12-10,37.8921,37.9373,37.4216,37.5121,1226662,LEG
2014-12-11,37.7126,38.2596,37.6488,37.9223,875660,LEG
2014-12-12,37.7035,38.1228,37.5577,37.8129,1276853,LEG
2014-12-15,37.8311,38.1502,37.43,37.7309,979492,LEG
2014-12-16,37.6762,38.3963,37.5485,37.6579,1154258,LEG
2014-12-17,37.5941,38.46,37.4209,38.296,860782,LEG
2014-12-18,38.6151,38.7335,38.3462,38.5604,1179312,LEG
2014-12-19,38.7701,38.8065,38.0681,38.3416,3608666,LEG
2014-12-22,36.3179,38.0408,35.8986,37.8949,1671869,LEG
2014-12-23,38.132,38.5422,37.9132,38.4784,973882,LEG
2014-12-24,38.5786,38.8795,38.4328,38.6516,384065,LEG
2014-12-26,38.8157,39.0572,38.7154,38.7974,425287,LEG
2014-12-29,38.7427,39.2715,38.6753,39.1529,633139,LEG
2014-12-30,39.1074,39.3353,38.9433,39.0071,597508,LEG
2014-12-31,39.08,39.2942,38.8248,38.843,894274,LEG
2015-01-02,38.8704,39.1347,37.8767,38.4328,882210,LEG
2015-01-05,38.1502,38.296,37.8402,37.9952,980609,LEG
2015-01-06,38.1228,38.3325,37.7035,38.1137,1677760,LEG
